,model,accuracy,utility
0,Random Forest - All,0.5084,438.8812978335536
1,NB Bernoulli,0.5264,462.22317487463806
2,NB Multinomial,0.52196,372.8135803928116
3,OLS w/PCA,0.51204,236.76589408206326
4,Logistic w/PCA,0.5121,213.38613521214117
5,OLS,0.51664,481.90761650955574
6,Ridge Regression,0.5168200000000001,485.00488290598446
7,Lasso,0.5168200000000001,485.00488290598446
8,Elastic Net,0.5055799999999999,591.1016677901059
9,LSTM 50 epochs 3500 batch size,0.50788,429.3496430231811
10,CNN Model,0.506060004234314,466.07207460131826
11,CNN Model,0.5090600252151489,474.60758484706514
